CellType,Mean,sd
101,3,0
114A,1,0
116A,5,1
116B,9.333333333,2.081665999
11A,6.333333333,0.577350269
120,5,1
123,5.333333333,1.527525232
125,5,1.732050808
12A,6.666666667,2.516611478
12B,12,1
12C,5,1
137,3,1
138,9.333333333,2.081665999
139,2.333333333,0.577350269
141,3.666666667,0.577350269
145,1,0
147,4.333333333,0.577350269
151B,1.333333333,0.577350269
16A,8.333333333,1.154700538
16B,8.333333333,1.527525232
16C,5,0
16D,5.666666667,0.577350269
16F,5,0
17A,5.666666667,0.577350269
17C,4.333333333,0.577350269
1A,7.333333333,1.154700538
1B,7.333333333,1.527525232
1C,5.666666667,0.577350269
1D,4.333333333,0.577350269
1E,4.333333333,0.577350269
1G,7.333333333,0.577350269
1H,3.666666667,0.577350269
2,8.333333333,0.577350269
27A,3.666666667,0.577350269
27C,5.666666667,1.154700538
29B,5,1
29C,5.666666667,1.527525232
29D,4.333333333,0.577350269
29E,10.66666667,2.081665999
29G,7,1
3A,11.66666667,0.577350269
3B,8.333333333,2.309401077
3C,11.33333333,1.527525232
3D,7.666666667,1.154700538
3E,4.666666667,1.154700538
3F,7,1
4A,7.666666667,1.154700538
4B,6,2
4C,6.333333333,0.577350269
4D,7.333333333,0.577350269
4E,9,1
4F,6.666666667,0.577350269
4G,2.666666667,0.577350269
4I,2.666666667,0.577350269
51B,3,0
51C,10.33333333,1.527525232
54A,6.666666667,1.527525232
54C,3.666666667,0.577350269
70A,5.333333333,0.577350269
70B,5.333333333,2.081665999
70C,6.333333333,1.154700538
70D,5.333333333,1.154700538
70E,7.333333333,0.577350269
76B,4.666666667,0.577350269
7A,6.666666667,2.081665999
84,3.333333333,0.577350269
85,2.666666667,0.577350269
8A,5,1
98,13,1
VisualPN1,6.666666667,0.577350269