Genotype,LineCode
MB583B,MB583B
SS00367,L16
SS03225,L173
SS03773,L1828
SS03783,L509
SS03802,L784
SS04038,L178
SS04720,L1385
SS04955,L258
SS04958,L421
SS04967,L1467
SS04970,L1735
SS04972,L979
SS04973,L1479
SS04974,L1475
SS10567,L240
SS15112,L374
SS15256,L194
SS15285,L259
SS15289,L62
SS15295,L234
SS16060,L954
SS16329,L568
SS16345,L1473
SS16353,L1328
SS16364,L907
SS16652,L542
SS16661,L247
SS16786,L1046
SS16977,L1293
SS16986,L1594
SS22604,L1354
SS22647,L1539
SS22723,L1749
SS22732,L1827
SS22737,L629
SS23341,L1842
SS23347,L2013
SS23827,L1989
SS23828,L1990
SS24645,L2278
SS24840,L2385
SS25832,L876
SS44863,L2444
SS01372,SS01372
SS15127,L378
SS15259,L224
SS15260,L291
SS15293,L166
SS22376,L1739
SS22377,L1740
SS22730,L1812
SS24172,L2220
SS24794,L2382
SS04956,L989
SS16059,L991
39601,NP6099
SS03791,L1668
SS04961,L984
SS04950,L1129
SS03801,L1518
SS04962,L1337
SS15280,L452
SS16038,L788
SS16337,L112
SS16351,L1117
SS21811,L271
SS22640,L1524
SS22763,L770
SS22764,L772
SS23097,L2001
SS23098,L2002
SS23170,L2185
SS23376,L1949
SS24679,L2193
SS03224,L163
SS03237,L528
SS04948,L849
SS06600,L19
SS15113,L20
SS15279,L304
SS15297,L85
SS16027,L1397
SS16564,L787
SS16659,L494
SS22656,L1554
SS22675,L1614
SS23817,L1900
SS23824,L1955
SS24177,L2087
SS24659,L2088
SS24820,L2392
SS25950,L2316
SS30939,L475
MB036B,MB036B
MB072,MB072
SS01371,SS01371
SS22713,L1721
SS23107,L2033
SS23129,L2098
SS23187,L2233
SS23354,L1959
SS23805,L1847
SS23817,L1900
SS22532,L452
SS22624,L1477